N,P,K,pH,Rain,Temp,Humid,Crop,Fertilizer,Fertilizer_class
81,16,45,6.727468157,59.75980023,26.90435747,86.25426228,Watermelon,Urea,2
145,60,140,6.5,900.0,20.0,68.4835897385994,Sugarcane,DAP,0
19,79,19,6.677262562,42.89509057,20.06003985,67.76252583,Lentil,Chilated Micronutrient,11
25,51,18,9.45949344,50.28438729,27.77799528,54.82130787,MothBeans,Chilated Micronutrient,11
25,40,15,7.0,900.0,30.0,73.07465697193568,Tur,Urea,2
30,40,40,6.0,800.0,25.0,69.49498965797167,Groundnut,Chilated Micronutrient,11
65,40,50,7.0,500.0,25.0,52.375392110451884,Wheat,19:19:19 NPK,6
28,27,32,5.764615485,191.7723087,28.94099669,93.00109012,Coconut,MOP,3
135,55,65,7.5,800.0,25.0,43.60114723416091,Cotton,DAP,0
37,36,27,5.910634533,90.40332704,27.5529736,47.90859131,Mango,SSP,1
40,40,30,7.5,500.0,30.0,74.52373197176576,Jowar,10:26:26 NPK,4
60,30,20,6.0,500.0,25.0,73.86021317846844,Moong,MOP,3
110,40,40,6.0,1000.0,25.0,71.25191559367791,Rice,Urea,2
105,45,50,6.0,800.0,25.0,67.10587954592057,Cotton,Magnesium Sulphate,5
27,59,22,5.794158504,130.0608093,21.81167649,23.20591245,KidneyBeans,Chilated Micronutrient,11
45,35,30,7.5,600.0,35.0,54.04355891581208,Jowar,Urea,2
30,15,10,6.5,700.0,30.0,80.2626518242016,Moong,MOP,3
85,50,100,6.5,1000.0,20.0,48.13571127910752,Sugarcane,Urea,2
110,45,55,7.5,900.0,20.0,60.58041171399158,Wheat,19:19:19 NPK,6
90,45,45,6.5,600.0,20.0,59.19891281431141,Wheat,19:19:19 NPK,6
23,72,84,6.920251378,79.92698081,19.02061277,17.13159126,ChickPea,12:32:16 NPK,7
115,50,60,6.0,800.0,25.0,54.270347765151044,Wheat,19:19:19 NPK,6
40,20,25,6.0,600.0,20.0,75.94272359886112,Masoor,DAP,0
55,30,30,7.0,600.0,35.0,60.14104914385459,Jowar,10:26:26 NPK,4
80,45,50,6.5,1000.0,25.0,51.14128521066445,Wheat,Urea,2
140,75,145,6.5,1300.0,25.0,71.4442816680947,Sugarcane,MOP,3
95,57,41,6.434610995,184.7674863,23.24925555,73.65346838,Jute,Urea,2
99,54,37,5.594819626,198.6730942,21.14347496,80.33502926,Rice,Urea,2
130,80,55,6.0,500.0,20.0,69.81683482494614,Maize,SSP,1
140,45,70,7.0,900.0,30.0,52.744158095280895,Cotton,13:32:26 NPK,18
95,60,50,7.5,800.0,15.0,65.27524818900082,Wheat,Urea,2
107,58,15,7.55606399,76.63669195,23.73868041,75.77503808,Cotton,Urea,2
82,22,45,6.512196212,54.60159289,26.22338015,85.34866045,Watermelon,Urea,2
37,78,79,7.786366322,88.6810311,19.95264829,14.82633099,ChickPea,Magnesium Sulphate,5
70,40,45,6.5,900.0,30.0,71.02975331417103,Jowar,Urea,2
105,75,40,6.5,600.0,20.0,56.33679696503185,Wheat,19:19:19 NPK,6
60,35,30,7.0,600.0,25.0,51.37743605678635,Jowar,Urea,2
20,25,30,6.5,600.0,30.0,49.6565931170571,Jowar,SSP,1
55,30,35,6.5,600.0,30.0,79.48571424797042,Groundnut,Chilated Micronutrient,11
100,55,50,7.5,600.0,20.0,61.22585897571617,Wheat,Urea,2
